BASE;COUNTER;DATE;EXCHANGE
USD;EUR;2021-12-31;1.1368
USD;EUR;2021-12-30;1.1323
USD;EUR;2021-12-29;1.1348
USD;EUR;2021-12-28;1.1309
USD;EUR;2021-12-27;1.1325
USD;EUR;2021-12-24;1.1317
USD;EUR;2021-12-23;1.1328
USD;EUR;2021-12-22;1.1324
USD;EUR;2021-12-21;1.1283
USD;EUR;2021-12-20;1.1275
USD;EUR;2021-12-17;1.1239
USD;EUR;2021-12-16;1.1328
USD;EUR;2021-12-15;1.1285
USD;EUR;2021-12-14;1.1257
USD;EUR;2021-12-13;1.1283
USD;EUR;2021-12-10;1.1311
USD;EUR;2021-12-09;1.1292
USD;EUR;2021-12-08;1.1342
USD;EUR;2021-12-07;1.1263
USD;EUR;2021-12-04;1.1285
USD;EUR;2021-12-03;1.1313
USD;EUR;2021-12-02;1.1299
USD;EUR;2021-12-01;1.1319
USD;EUR;2021-11-30;1.1336
USD;EUR;2021-11-29;1.1291
USD;EUR;2021-11-26;1.1317
USD;EUR;2021-11-25;1.1206
USD;EUR;2021-11-24;1.1197
USD;EUR;2021-11-23;1.1246
USD;EUR;2021-11-22;1.1234
USD;EUR;2021-11-19;1.1289
USD;EUR;2021-11-18;1.1369
USD;EUR;2021-11-17;1.1319
USD;EUR;2021-11-16;1.1319
USD;EUR;2021-11-15;1.1367
USD;EUR;2021-11-12;1.145
USD;EUR;2021-11-11;1.145
USD;EUR;2021-11-10;1.1478
USD;EUR;2021-11-09;1.1591
USD;EUR;2021-11-08;1.1586
USD;EUR;2021-11-05;1.1566
USD;EUR;2021-11-04;1.1552
USD;EUR;2101-11-03;1.161
USD;EUR;2021-11-02;1.1577
USD;EUR;2021-11-01;1.1606
USD;EUR;2021-10-29;1.1561
USD;EUR;2021-10-28;1.1679
USD;EUR;2021-10-27;1.1604
USD;EUR;2021-10-26;1.1595
USD;EUR;2021-10-25;1.1606
USD;EUR;2021-10-22;1.1647
USD;EUR;2021-10-21;1.1621
USD;EUR;2021-10-20;1.1649
USD;EUR;2021-10-19;1.1632
USD;EUR;2021-10-18;1.1609
USD;EUR;2021-10-15;1.16
USD;EUR;2021-10-14;1.1594
USD;EUR;2021-10-13;1.1592
USD;EUR;2021-10-12;1.1527
USD;EUR;2021-10-11;1.1551
USD;EUR;2021-10-08;1.1567
USD;EUR;2021-10-07;1.155
USD;EUR;2021-10-06;1.1556
USD;EUR;2021-10-05;1.1596
USD;EUR;2021-10-04;1.1621
USD;EUR;2021-10-01;1.1594
USD;EUR;2021-09-30;1.1581
USD;EUR;2021-09-29;1.1595
USD;EUR;2021-09-28;1.1681
USD;EUR;2021-09-27;1.1694
USD;EUR;2021-09-24;1.1714
USD;EUR;2021-09-23;1.1736
USD;EUR;2021-09-22;1.1686
USD;EUR;2021-09-21;1.1723
USD;EUR;2021-09-20;1.1725
USD;EUR;2021-09-17;1.1725
USD;EUR;2021-09-16;1.1764
USD;EUR;2021-09-15;1.1815
USD;EUR;2021-09-14;1.1802
USD;EUR;2021-09-13;1.1808
USD;EUR;2021-09-10;1.1814
USD;EUR;2021-09-09;1.1825
USD;EUR;2021-09-08;1.1813
USD;EUR;2021-09-07;1.1839
USD;EUR;2021-09-06;1.1868
USD;EUR;2021-09-03;1.1882
USD;EUR;2021-09-02;1.1873
USD;EUR;2021-09-01;1.1837
USD;EUR;2021-08-31;1.1807
USD;EUR;2021-08-30;1.1795
USD;EUR;2021-08-27;1.1793
USD;EUR;2021-08-26;1.175
USD;EUR;2021-08-25;1.177
USD;EUR;2021-08-24;1.1753
USD;EUR;2021-08-23;1.1743
USD;EUR;2021-08-20;1.1696
USD;EUR;2021-08-19;1.1674
USD;EUR;2021-08-18;1.171
USD;EUR;2021-08-17;1.1708
USD;EUR;2021-08-16;1.1777
USD;EUR;2021-08-13;1.1791
USD;EUR;2021-08-12;1.1727
USD;EUR;2021-08-11;1.1737
USD;EUR;2021-08-10;1.1718
USD;EUR;2021-08-09;1.1737
USD;EUR;2021-08-06;1.176
USD;EUR;2021-08-05;1.1832
USD;EUR;2021-08-04;1.1835
USD;EUR;2021-08-03;1.186
USD;EUR;2021-08-02;1.1867
USD;EUR;2021-07-30;1.187
USD;EUR;2021-07-29;1.1886
USD;EUR;2021-07-28;1.1842
USD;EUR;2021-07-27;1.1814
USD;EUR;2021-07-26;1.1799
USD;EUR;2021-07-23;1.1771
USD;EUR;2021-07-22;1.177
USD;EUR;2021-07-21;1.1792
USD;EUR;2021-07-20;1.1779
USD;EUR;2021-07-19;1.1798
USD;EUR;2021-07-16;1.1805
USD;EUR;2021-07-15;1.1812
USD;EUR;2021-07-14;1.1835
USD;EUR;2021-07-13;1.1774
USD;EUR;2021-07-12;1.1859
USD;EUR;2021-07-09;1.1873
USD;EUR;2021-07-08;1.1842
USD;EUR;2021-07-07;1.1789
USD;EUR;2021-07-06;1.1822
USD;EUR;2021-07-05;1.1861
USD;EUR;2021-07-02;1.1864
USD;EUR;2021-07-01;1.1848
USD;EUR;2021-06-30;1.1855
USD;EUR;2021-06-29;1.1895
USD;EUR;2021-06-28;1.1924
USD;EUR;2021-06-25;1.1933
USD;EUR;2021-06-24;1.193
USD;EUR;2021-06-23;1.1925
USD;EUR;2021-06-22;1.1938
USD;EUR;2021-06-21;1.1915
USD;EUR;2021-06-18;1.186
USD;EUR;2021-06-17;1.1906
USD;EUR;2021-06-16;1.1994
USD;EUR;2021-06-15;1.2124
USD;EUR;2021-06-14;1.2118
USD;EUR;2021-06-11;1.2106
USD;EUR;2021-06-10;1.2169
USD;EUR;2021-06-09;1.2178
USD;EUR;2021-06-08;1.2171
USD;EUR;2021-06-07;1.2189
USD;EUR;2021-06-04;1.2165
USD;EUR;2021-06-03;1.2124
USD;EUR;2021-06-02;1.2209
USD;EUR;2021-06-01;1.2211
USD;EUR;2021-05-31;1.2225
USD;EUR;2021-05-28;1.2189
USD;EUR;2021-05-27;1.2192
USD;EUR;2021-05-26;1.219
USD;EUR;2021-05-25;1.225
USD;EUR;2021-05-24;1.2215
USD;EUR;2021-05-21;1.2179
USD;EUR;2021-05-20;1.2226
USD;EUR;2021-05-19;1.2172
USD;EUR;2021-05-18;1.222
USD;EUR;2021-05-17;1.2151
USD;EUR;2021-05-14;1.214
USD;EUR;2021-05-13;1.2078
USD;EUR;2021-05-12;1.2069
USD;EUR;2021-05-11;1.2146
USD;EUR;2021-05-10;1.2129
USD;EUR;2021-05-07;1.2163
USD;EUR;2021-05-06;1.2064
USD;EUR;2021-05-05;1.2005
USD;EUR;2021-05-04;1.2013
USD;EUR;2021-05-03;1.2061
USD;EUR;2021-04-30;1.2018
USD;EUR;2021-04-29;1.2118
USD;EUR;2021-04-28;1.2123
USD;EUR;2021-04-27;1.209
USD;EUR;2021-04-26;1.2083
USD;EUR;2021-04-23;1.2099
USD;EUR;2021-04-22;1.2015
USD;EUR;2021-04-21;1.2033
USD;EUR;2021-04-20;1.2033
USD;EUR;2021-04-19;1.2033
USD;EUR;2021-04-16;1.1983
USD;EUR;2021-04-15;1.1965
USD;EUR;2021-04-14;1.1978
USD;EUR;2021-04-13;1.1946
USD;EUR;2021-04-12;1.1909
USD;EUR;2021-04-09;1.1896
USD;EUR;2021-04-08;1.1912
USD;EUR;2021-04-07;1.187
USD;EUR;2021-04-06;1.1875
USD;EUR;2021-04-05;1.1811
USD;EUR;2021-04-02;1.1762
USD;EUR;2021-04-01;1.1775
USD;EUR;2021-03-31;1.1728
USD;EUR;2021-03-30;1.1714
USD;EUR;2021-03-29;1.1762
USD;EUR;2021-03-26;1.1796
USD;EUR;2021-03-25;1.1764
USD;EUR;2021-03-24;1.1812
USD;EUR;2021-03-23;1.1849
USD;EUR;2021-03-22;1.1931
USD;EUR;2021-03-19;1.1903
USD;EUR;2021-03-18;1.1915
USD;EUR;2021-03-17;1.1978
USD;EUR;2021-03-16;1.19
USD;EUR;2021-03-15;1.1928
USD;EUR;2021-03-12;1.1952
USD;EUR;2021-03-11;1.1984
USD;EUR;2021-03-10;1.1925
USD;EUR;2021-03-09;1.1898
USD;EUR;2021-03-08;1.1843
USD;EUR;2021-03-05;1.1917
USD;EUR;2021-03-04;1.1966
USD;EUR;2021-03-03;1.2062
USD;EUR;2021-03-02;1.2089
USD;EUR;2021-03-01;1.2047
USD;EUR;2021-02-26;1.2074
USD;EUR;2021-02-25;1.2176
USD;EUR;2021-02-24;1.2164
USD;EUR;2021-02-23;1.2149
USD;EUR;2021-02-22;1.2154
USD;EUR;2021-02-19;1.2117
USD;EUR;2021-02-18;1.2088
USD;EUR;2021-02-17;1.2036
USD;EUR;2021-02-16;1.2104
USD;EUR;2021-02-15;1.2127
USD;EUR;2021-02-12;1.2118
USD;EUR;2021-02-11;1.2128
USD;EUR;2021-02-10;1.2116
USD;EUR;2021-02-09;1.2117
USD;EUR;2021-02-08;1.2048
USD;EUR;2021-02-05;1.2042
USD;EUR;2021-02-04;1.1962
USD;EUR;2021-02-03;1.2034
USD;EUR;2021-02-02;1.2042
USD;EUR;2021-02-01;1.2059
USD;EUR;2021-01-29;1.2136
USD;EUR;2021-01-28;1.2121
USD;EUR;2021-01-27;1.2108
USD;EUR;2021-01-26;1.216
USD;EUR;2021-01-25;1.2137
USD;EUR;2021-01-22;1.2167
USD;EUR;2021-01-21;1.2162
USD;EUR;2021-01-20;1.2104
USD;EUR;2021-01-19;1.2128
USD;EUR;2021-01-18;1.2076
USD;EUR;2021-01-15;1.2078
USD;EUR;2021-01-14;1.2156
USD;EUR;2021-01-13;1.2157
USD;EUR;2021-01-12;1.2207
USD;EUR;2021-01-11;1.2149
USD;EUR;2021-01-08;1.2218
USD;EUR;2021-01-07;1.227
USD;EUR;2021-01-06;1.2325
USD;EUR;2021-01-05;1.2294
USD;EUR;2021-01-04;1.2248
USD;EUR;2021-01-01;1.2212
